NOAA Solar Calculations - Change any of the highlighted cells to get solar position data for that location and time-of-day for a year.,,,Date,Time (hrs past local midnight),Julian Day,Julian Century,,Geom Mean Long Sun (deg),Geom Mean Anom Sun (deg),Eccent Earth Orbit,Sun Eq of Ctr,Sun True Long (deg),Sun True Anom (deg),Sun Rad Vector (AUs),Sun App Long (deg),Mean Obliq Ecliptic (deg),Obliq Corr (deg),Sun Rt Ascen (deg),Sun Declin (deg),var y,Eq of Time (minutes),HA Sunrise (deg),Solar Noon (LST),Sunrise Time (LST),Sunset Time (LST),Sunlight Duration (minutes),True Solar Time (min),Hour Angle (deg),Solar Zenith Angle (deg),Solar Elevation Angle (deg),Approx Atmospheric Refraction (deg),Solar Elevation corrected for atm refraction (deg),Solar Azimuth Angle (deg cw from N),
,,,10/03/2020,12:00:00,2458919.00,0.20188912,,348.6301062,7625.345581,0.016700142,1.754247222,350.3843534,7627.099828,0.993267403,350.3738986,23.43666571,23.43646223,-8.845070651,-3.813436154,0.043023847,-10.12569749,87.5666453,12:20:29,6:30:13,18:10:45,700.5331624,699.5143025,-5.121424373,47.16104741,42.83895259,0.017380312,42.8563329,173.0231264,
,,,11/03/2020,12:00:00,2458920.00,0.20191650,,349.6157536,7626.331181,0.016700141,1.767249645,351.3830032,7628.098431,0.993533035,351.372548,23.43666535,23.43646423,-7.925143015,-3.420491793,0.043023854,-9.861306104,87.93587453,12:20:13,6:28:29,18:11:58,703.4869962,699.7786939,-5.055326526,46.76380464,43.23619536,0.01714107,43.25333643,173.0654067,
,,,12/03/2020,12:00:00,2458921.00,0.20194387,,350.6014009,7627.316782,0.01670014,1.779716323,352.3811173,7629.096498,0.993800535,352.3706617,23.436665,23.43646623,-7.006463017,-3.026879931,0.043023862,-9.592021334,88.3053957,12:19:57,6:26:44,18:13:10,706.4431656,700.0479787,-4.988005333,46.36580536,43.63419464,0.016904857,43.65109949,173.1099173,
,,,13/03/2020,12:00:00,2458922.00,0.20197125,,351.5870483,7628.302382,0.016700139,1.791644021,353.3786923,7630.094026,0.994069819,353.3682364,23.43666464,23.43646823,-6.088946448,-2.632705016,0.04302387,-9.318185415,88.67516002,12:19:41,6:24:59,18:14:23,709.4012801,700.3218146,-4.919546354,45.9671636,44.0328364,0.016671663,44.04950807,173.1565963,
,,,14/03/2020,12:00:00,2458923.00,0.20199863,,352.5726957,7629.287982,0.016700137,1.803029677,354.3757253,7631.091012,0.994340807,354.3652691,23.43666428,23.43647024,-5.172508773,-2.23807101,0.043023877,-9.040141054,89.04511966,12:19:24,6:23:13,18:15:35,712.3609573,700.5998589,-4.850035264,45.56799285,44.43200715,0.016441474,44.44844863,173.2053795,
,,,15/03/2020,12:00:00,2458924.00,0.20202601,,353.558343,7630.273583,0.016700136,1.813870404,355.3722134,7632.087453,0.994613413,355.3617569,23.43666393,23.43647224,-4.257065199,-1.843081401,0.043023885,-8.758231165,89.41522769,12:19:07,6:21:27,18:16:47,715.3218216,700.8817688,-4.779557791,45.16840609,44.83159391,0.016214275,44.84780819,173.2562006,
,,,16/03/2020,12:00:00,2458925.00,0.20205339,,354.5439904,7631.259183,0.016700135,1.824163491,356.3681539,7633.083346,0.994887557,356.357697,23.43666357,23.43647424,-3.34253073,-1.447839211,0.043023892,-8.472798622,89.78543798,12:18:50,6:19:41,18:17:58,718.2835038,701.1672014,-4.708199656,44.76851572,45.23148428,0.01599005,45.24747433,173.3089909,
,,,17/03/2020,12:00:00,2458926.00,0.20208077,,355.5296378,7632.244783,0.016700134,1.833906398,357.3635442,7634.07869,0.995163152,357.3530869,23.43666322,23.43647625,-2.428820236,-1.052447004,0.0430239,-8.184186021,90.15570502,12:18:33,6:17:55,18:19:10,721.2456401,701.455814,-4.636046505,44.36843361,45.63156639,0.01576878,45.64733517,173.3636796,
,,,18/03/2020,12:00:00,2458927.00,0.20210815,,356.5152851,7633.230383,0.016700133,1.843096762,358.3583819,7635.07348,0.995440117,358.3479243,23.43666286,23.43647825,-1.515848505,-0.6570069,0.043023907,-7.892735449,90.52598389,12:18:15,6:16:09,18:20:21,724.2078711,701.7472646,-4.563183862,43.96827102,46.03172898,0.015550448,46.04727943,173.4201936,
,,,19/03/2020,12:00:00,2458928.00,0.20213552,,357.5009325,7634.215984,0.016700132,1.851732393,359.3526649,7636.067716,0.995718366,359.342207,23.4366625,23.43648026,-0.603530306,-0.261620582,0.043023915,-7.598788274,90.89623011,12:17:58,6:14:22,18:21:33,727.1698409,702.0412117,-4.489697068,43.56813864,46.43186136,0.015335035,46.44719639,173.4784577,
,,,20/03/2020,12:00:00,2458929.00,0.20216290,,358.4865798,7635.201584,0.01670013,1.859811277,360.3463911,7637.061395,0.995997815,360.3359329,23.43666215,23.43648226,0.308219554,0.133610694,0.043023922,-7.302684929,91.26639956,12:17:40,6:12:36,18:22:44,730.1311964,702.3373151,-4.415671232,43.16814658,46.83185342,0.015122519,46.84697594,173.5383943,
,,,21/03/2020,12:00:00,2458930.00,0.20219028,,359.4722272,7636.187184,0.016700129,1.867331575,361.3395588,7638.054516,0.99627838,361.3291003,23.43666179,23.43648426,1.219486173,0.528586084,0.04302393,-7.004764721,91.63644833,12:17:22,6:10:49,18:23:55,733.0915866,702.6352353,-4.34119118,42.76840432,47.23159568,0.01491288,47.24650856,173.5999235,
,,,22/03/2020,12:00:00,2458931.00,0.20221766,,0.457874572,7637.172785,0.016700128,1.87429162,2.332166191,7639.047076,0.996559975,2.321707394,23.43666144,23.43648627,2.130354499,0.923205147,0.043023938,-6.705365636,92.00633267,12:17:04,6:09:02,18:25:05,736.0506613,702.9346344,-4.266341409,42.36902075,47.63097925,0.014706096,47.64568534,173.6629632,
,,,23/03/2020,12:00:00,2458932.00,0.20224504,,1.443521935,7638.158385,0.016700127,1.88068992,3.324211855,7640.039075,0.996842515,3.313752758,23.43666108,23.43648827,3.040909271,1.317367833,0.043023945,-6.404824158,92.37600884,12:16:46,6:07:16,18:26:16,739.0080707,703.2351758,-4.191206039,41.97010415,48.02989585,0.014502144,48.044398,173.7274289,
,,,24/03/2020,12:00:00,2458933.00,0.20227242,,2.429169299,7639.143985,0.016700126,1.886525158,4.315694457,7641.03051,0.997125915,4.305235064,23.43666072,23.43649028,3.95123497,1.710974472,0.043023953,-6.10347509,92.74543305,12:16:28,6:05:29,18:27:27,741.9634644,703.5365249,-4.115868773,41.57176217,48.42823783,0.014301004,48.44253884,173.7932337,
,,,25/03/2020,12:00:00,2458934.00,0.20229979,,3.414816662,7640.129585,0.016700125,1.89179619,5.306612852,7642.021382,0.997410091,5.296153167,23.43666037,23.43649228,4.861415756,2.10392576,0.04302396,-5.801651386,93.11456129,12:16:10,6:03:42,18:28:37,744.9164903,703.8383486,-4.040412847,41.17410185,48.82589815,0.014102651,48.8400008,173.8602884,
,,,26/03/2020,12:00:00,2458935.00,0.20232717,,4.400464026,7641.115186,0.016700124,1.896502045,6.29696607,7643.011688,0.997694955,6.286506097,23.43666001,23.43649429,5.77153542,2.49612275,0.043023968,-5.499683981,93.4833493,12:15:52,6:01:56,18:29:48,747.8667944,704.140316,-3.964920995,40.77722961,49.22277039,0.013907063,49.23667745,173.9285014,
,,,27/03/2020,12:00:00,2458936.00,0.20235455,,5.386111389,7642.100786,0.016700122,1.900641924,7.286753313,7644.001428,0.997980424,7.276293056,23.43665966,23.43649629,6.681677329,2.887466841,0.043023975,-5.197901627,93.85175242,12:15:33,6:00:09,18:30:58,750.8140193,704.4420984,-3.889475407,40.38125124,49.61874876,0.013714215,49.63246297,173.9977786,
,,,28/03/2020,12:00:00,2458937.00,0.20238193,,6.371758753,7643.086386,0.016700121,1.904215202,8.275973954,7644.990601,0.998266411,8.265513417,23.4366593,23.4364983,7.591924369,3.277859762,0.043023983,-4.896630735,94.2197255,12:15:15,5:58:23,18:32:08,753.757804,704.7433693,-3.814157684,39.98627192,50.01372808,0.013524086,50.02725216,174.0680234,
,,,29/03/2020,12:00:00,2458938.00,0.20240931,,7.357406116,7644.071986,0.01670012,1.907221423,9.26462754,7645.979208,0.998552831,9.254166727,23.43665894,23.4365003,8.502358892,3.667203565,0.043023991,-4.596195214,94.58722282,12:14:57,5:56:36,18:33:18,756.6977826,705.0438048,-3.739048803,39.5923962,50.4076038,0.013336652,50.42094045,174.139137,
,,,30/03/2020,12:00:00,2458939.00,0.20243669,,8.34305348,7645.057587,0.016700119,1.909660306,10.25271379,7646.967247,0.998839599,10.2422527,23.43665859,23.43650231,9.413062663,4.055400616,0.043023998,-4.296916311,94.95419796,12:14:39,5:54:50,18:34:28,759.6335837,705.3430837,-3.664229078,39.19972802,50.80027198,0.013151889,50.81342387,174.2110176,
,,,31/03/2020,12:00:00,2458940.00,0.20246407,,9.328700843,7646.043187,0.016700118,1.911531738,11.24023258,7647.954719,0.999126629,11.22977123,23.43665823,23.43650431,10.32411681,4.442353577,0.043024006,-3.999112457,95.3206037,12:14:22,5:53:05,18:35:38,762.5648296,705.6408875,-3.589778114,38.80837069,51.19162931,0.012969775,51.20459909,174.2835611,
,,,01/04/2020,12:00:00,2458941.00,0.20249144,,10.31434821,7647.028787,0.016700117,1.912835774,12.22718398,7648.941623,0.999413835,12.21672237,23.43665788,23.43650632,11.23560175,4.827965405,0.043024013,-3.703099101,95.68639196,12:14:04,5:51:19,18:36:49,765.4911357,705.9369009,-3.515774775,38.4184269,51.5815731,0.012790286,51.59436338,174.3566611,
,,,02/04/2020,12:00:00,2458942.00,0.20251882,,11.29999557,7648.014388,0.016700116,1.913572642,13.21356821,7649.92796,0.999701133,13.20310634,23.43665752,23.43650832,12.14759717,5.212139335,0.043024021,-3.409188556,96.05151366,12:13:46,5:49:34,18:37:59,768.4121093,706.2308114,-3.442297139,38.02999877,51.97000123,0.012613399,51.98261463,174.4302081,
,,,03/04/2020,12:00:00,2458943.00,0.20254620,,12.28564293,7648.999988,0.016700114,1.913742735,14.19938567,7650.913731,0.999988436,14.18892354,23.43665716,23.43651033,13.06018193,5.594778877,0.043024028,-3.117689828,96.41591863,12:13:29,5:47:49,18:39:08,771.3273491,706.5223102,-3.369422457,37.64318777,52.35681223,0.012439093,52.36925132,174.5040903,
,,,04/04/2020,12:00:00,2458944.00,0.20257358,,13.2712903,7649.985588,0.016700113,1.913346616,15.18463691,7651.898935,1.000275661,15.17417453,23.43665681,23.43651234,13.97343405,5.975787803,0.043024036,-2.828908455,96.77955555,12:13:11,5:46:04,18:40:18,774.2364444,706.8110915,-3.297227114,37.25809479,52.74190521,0.012267344,52.75417255,174.5781933,
,,,05/04/2020,12:00:00,2458945.00,0.20260096,,14.25693766,7650.971188,0.016700112,1.912385011,16.16932267,7652.883573,1.000562723,16.15886004,23.43665645,23.43651434,14.88743061,6.355070143,0.043024044,-2.54314633,97.14237182,12:12:54,5:44:20,18:41:28,777.1389745,707.0968537,-3.225786582,36.87482013,53.12517987,0.012098131,53.137278,174.6523998,
,,,06/04/2020,12:00:00,2458946.00,0.20262834,,15.24258502,7651.956789,0.016700111,1.910858815,17.15344384,7653.867648,1.000849536,17.14298097,23.4366561,23.43651635,15.80224773,6.732530175,0.043024051,-2.260701529,97.50431346,12:12:37,5:42:36,18:42:38,780.0345077,707.3792985,-3.155175382,36.49346349,53.50653651,0.011931433,53.51846794,174.7265902,
,,,07/04/2020,12:00:00,2458947.00,0.20265572,,16.22823239,7652.942389,0.01670011,1.908769086,18.13700147,7654.851158,1.001136016,18.12653836,23.43665574,23.43651836,16.7179605,7.108072422,0.043024059,-1.981868129,97.86532505,12:12:21,5:40:53,18:43:48,782.9226004,707.6581319,-3.085467032,36.11412399,53.88587601,0.011767229,53.89764324,174.8006421,
,,,08/04/2020,12:00:00,2458948.00,0.20268309,,17.21387975,7653.927989,0.016700109,1.906117045,19.1199968,7655.834106,1.001422079,19.10953345,23.43665538,23.43652036,17.63464291,7.481601644,0.043024066,-1.706936019,98.22534964,12:12:04,5:39:10,18:44:58,785.8027971,707.933064,-3.016734005,35.73690018,54.26309982,0.011605497,54.27470531,174.8744303,
,,,09/04/2020,12:00:00,2458949.00,0.20271047,,18.19952712,7654.91359,0.016700107,1.902904076,20.10243119,7656.816494,1.001707641,20.09196761,23.43665503,23.43652237,18.5523678,7.853022838,0.043024074,-1.436190709,98.58432861,12:11:48,5:37:28,18:46:08,788.6746288,708.2038093,-2.949047677,35.36189005,54.63810995,0.011446218,54.64955617,174.9478272,
,,,10/04/2020,12:00:00,2458950.00,0.20273785,,19.18517448,7655.89919,0.016700106,1.899131725,21.0843062,7657.798322,1.001992619,21.0738424,23.43665467,23.43652438,19.47120683,8.222241227,0.043024082,-1.169913127,98.94220164,12:11:32,5:35:46,18:47:18,791.5376131,708.4700869,-2.882478282,34.989191,55.010809,0.011289372,55.02209837,175.0207027,
,,,11/04/2020,12:00:00,2458951.00,0.20276523,,20.17082184,7656.88479,0.016700105,1.894801696,22.06562354,7658.779592,1.002276929,22.05515951,23.43665432,23.43652638,20.39123035,8.589162267,0.043024089,-0.908379413,99.29890659,12:11:16,5:34:04,18:48:28,794.3912527,708.7316206,-2.817094853,34.61889992,55.38110008,0.011134939,55.39223502,175.0929237,
,,,12/04/2020,12:00:00,2458952.00,0.20279261,,21.15646921,7657.87039,0.016700104,1.889915856,23.04638506,7659.760306,1.002560488,23.03592082,23.43665396,23.43652839,21.31250743,8.95369164,0.043024097,-0.651860708,99.65437946,12:11:01,5:32:24,18:49:38,797.2350357,708.9881393,-2.752965177,34.25111313,55.74888687,0.010982902,55.75986977,175.1643552,
,,,13/04/2020,12:00:00,2458953.00,0.20281999,,22.14211657,7658.855991,0.016700103,1.884476225,24.02659279,7660.740467,1.002843214,24.01612833,23.4366536,23.4365304,22.2351057,9.315735255,0.043024104,-0.400622925,100.0085542,12:10:46,5:30:44,18:50:48,800.0684339,709.2393771,-2.690155731,33.88592641,56.11407359,0.010833243,56.12490683,175.2348591,
,,,14/04/2020,12:00:00,2458954.00,0.20284736,,23.12776393,7659.841591,0.016700102,1.878484983,25.00624892,7661.720076,1.003125024,24.99578424,23.43665325,23.4365324,23.15909139,9.67519925,0.043024112,-0.154926525,100.3613629,12:10:31,5:29:04,18:51:58,802.890903,709.4850735,-2.628731631,33.52343505,56.47656495,0.010685943,56.48725089,175.3042953,
,,,15/04/2020,12:00:00,2458955.00,0.20287474,,24.1134113,7660.827191,0.016700101,1.871944463,25.98535576,7662.699136,1.003405836,25.97489088,23.43665289,23.43653441,24.08452917,10.03199,0.043024119,0.084973721,100.7127352,12:10:17,5:27:25,18:53:08,805.7018817,709.7249737,-2.56875657,33.16373378,56.83626622,0.010540986,56.84680721,175.3725213,
,,,16/04/2020,12:00:00,2458956.00,0.20290212,,25.09905866,7661.812792,0.016700099,1.864857154,26.96391581,7663.677649,1.003685569,26.95345073,23.43665254,23.43653642,25.01148216,10.3860141,0.043024127,0.318828979,101.0625989,12:10:02,5:25:47,18:54:17,808.5007911,709.958829,-2.510292755,32.80691685,57.19308315,0.010398356,57.20348151,175.4393922,
,,,17/04/2020,12:00:00,2458957.00,0.20292950,,26.08470602,7662.798392,0.016700098,1.857225695,27.94193172,7664.655618,1.003964143,27.93146644,23.43665218,23.43653843,25.94001182,10.7371784,0.043024135,0.546396601,101.4108792,12:09:49,5:24:10,18:55:27,811.2870338,710.1863966,-2.45340085,32.453078,57.546922,0.010258037,57.55718004,175.5047613,
,,,18/04/2020,12:00:00,2458958.00,0.20295688,,27.07035339,7663.783992,0.016700097,1.849052879,28.91940627,7665.633045,1.004241475,28.90894079,23.43665182,23.43654043,26.87017792,11.08539,0.043024142,0.767440385,101.7574993,12:09:36,5:22:34,18:56:37,814.0599943,710.4074404,-2.398139904,32.10231048,57.89768952,0.010120014,57.90780953,175.5684796,
,,,19/04/2020,12:00:00,2458959.00,0.20298426,,28.05600075,7664.769592,0.016700096,1.840341647,29.8963424,7666.609934,1.004517488,29.88587673,23.43665147,23.43654244,27.80203844,11.43055623,0.04302415,0.981730842,102.1023797,12:09:23,5:20:58,18:57:47,816.8190373,710.6217308,-2.34456729,31.75470707,58.24529293,0.009984273,58.25527721,175.6303964,
,,,20/04/2020,12:00:00,2458960.00,0.20301164,,29.04164811,7665.755193,0.016700095,1.831095088,30.8727432,7667.586288,1.004792101,30.86227735,23.43665111,23.43654445,28.73564952,11.77258473,0.043024157,1.189045464,102.4454385,12:09:10,5:19:23,18:58:57,819.5635083,710.8290455,-2.292738634,31.41036006,58.58963994,0.0098508,58.59949074,175.6903592,
,,,21/04/2020,12:00:00,2458961.00,0.20303901,,30.02729548,7666.740793,0.016700094,1.821316437,31.84861191,7668.562109,1.005065234,31.83814588,23.43665076,23.43654646,29.6710654,12.11138337,0.043024165,1.38916901,102.7865916,12:08:58,5:17:49,19:00:07,822.2927325,711.029169,-2.242707747,31.06936129,58.93063871,0.009719582,58.9403583,175.748214,
,,,22/04/2020,12:00:00,2458962.00,0.20306639,,31.01294284,7667.726393,0.016700092,1.811009077,32.82395192,7669.537402,1.005336811,32.81348571,23.4366504,23.43654847,30.60833834,12.44686033,0.043024172,1.58189378,103.1257518,12:08:47,5:16:17,19:01:17,825.0060145,711.2218938,-2.194526555,30.73180213,59.26819787,0.009590607,59.27778848,175.8038057,
,,,23/04/2020,12:00:00,2458963.00,0.20309377,,31.9985902,7668.711993,0.016700091,1.800176533,33.79876674,7670.51217,1.005606752,33.78830035,23.43665004,23.43655047,31.54751857,12.7789241,0.04302418,1.767019909,103.4628298,12:08:36,5:14:44,19:02:27,827.7026382,711.4070199,-2.148245023,30.39777351,59.60222649,0.009463863,59.61169035,175.8569778,
,,,24/04/2020,12:00:00,2458964.00,0.20312115,,32.98423757,7669.697594,0.01670009,1.788822472,34.77306004,7671.486416,1.005874981,34.76259349,23.43664969,23.43655248,32.48865418,13.10748349,0.043024188,1.944355657,103.7977333,12:08:25,5:13:13,19:03:36,830.3818663,711.5843557,-2.103911086,30.06736592,59.93263408,0.009339338,59.94197342,175.9075732,
,,,25/04/2020,12:00:00,2458965.00,0.20314853,,33.96988493,7670.683194,0.016700089,1.776950702,35.74683563,7672.460145,1.006141421,35.73636892,23.43664933,23.43655449,33.4317911,13.43244762,0.043024195,2.113717705,104.1303675,12:08:15,5:11:43,19:04:46,833.0429401,711.7537177,-2.061570574,29.7406694,60.2593306,0.009217024,60.26854763,175.955434,
,,,26/04/2020,12:00:00,2458966.00,0.20317591,,34.9555323,7671.668794,0.016700088,1.76456517,36.72009746,7673.43336,1.006405996,36.70963058,23.43664898,23.4365565,34.37697302,13.753726,0.043024203,2.274931453,104.4606349,12:08:05,5:10:15,19:05:56,835.685079,711.9149315,-2.021267137,29.41777356,60.58222644,0.009096909,60.59132335,176.0004021,
,,,27/04/2020,12:00:00,2458967.00,0.20320329,,35.94117966,7672.654395,0.016700087,1.751669959,37.69284962,7674.406065,1.006668631,37.68238258,23.43664862,23.43655851,35.3242413,14.07122851,0.04302421,2.427831317,104.7884351,12:07:56,5:08:47,19:07:05,838.3074808,712.0678313,-1.983042171,29.09876759,60.90123241,0.008978985,60.9102114,176.0423196,
,,,28/04/2020,12:00:00,2458968.00,0.20323066,,36.92682702,7673.639995,0.016700086,1.738269289,38.66509631,7675.378264,1.006929251,38.65462912,23.43664826,23.43656052,36.27363491,14.38486543,0.043024218,2.572261029,105.1136652,12:07:47,5:07:20,19:08:15,840.9093212,712.212261,-1.946934743,28.78374024,61.21625976,0.008863243,61.225123,176.0810287,
,,,29/04/2020,12:00:00,2458969.00,0.20325804,,37.91247439,7674.625595,0.016700084,1.724367515,39.6368419,7676.349963,1.007187782,39.62637456,23.43664791,23.43656253,37.22519039,14.69454746,0.043024226,2.708073937,105.4362193,12:07:39,5:05:54,19:09:24,843.4897542,712.3480739,-1.912981516,28.47277985,61.52722015,0.008749676,61.53596983,176.1163726,
,,,30/04/2020,12:00:00,2458970.00,0.20328542,,38.89812175,7675.611195,0.016700083,1.709969121,40.60809087,7677.321165,1.007444151,40.59762338,23.43664755,23.43656453,38.17894174,15.00018578,0.043024233,2.835133304,105.7559889,12:07:31,5:04:30,19:10:33,846.0479115,712.4751333,-1.881216674,28.16597432,61.83402568,0.008638277,61.84266396,176.1481955,
,,,01/05/2020,12:00:00,2458971.00,0.20331280,,39.88376911,7676.596796,0.016700082,1.695078725,41.57884784,7678.291874,1.007698285,41.56838021,23.4366472,23.43656654,39.13492039,15.30169202,0.043024241,2.953312596,106.0728629,12:07:24,5:03:07,19:11:42,848.5829031,712.5933126,-1.851671851,27.86341111,62.13658889,0.008529039,62.14511793,176.1763432,
,,,02/05/2020,12:00:00,2458972.00,0.20334018,,40.86941648,7677.582396,0.016700081,1.679701072,42.54911755,7679.262097,1.007950113,42.53864978,23.43664684,23.43656855,40.09315511,15.59897834,0.043024248,3.062495779,106.3867272,12:07:18,5:01:45,19:12:51,851.0938172,712.7024958,-1.824376055,27.56517728,62.43482272,0.008421957,62.44324467,176.2006637,
,,,03/05/2020,12:00:00,2458973.00,0.20336756,,41.85506384,7678.567996,0.01670008,1.663841035,43.51890487,7680.231837,1.008199563,43.50843698,23.43664648,23.43657056,41.05367197,15.89195747,0.043024256,3.162577601,106.6974651,12:07:12,5:00:24,19:13:59,853.5797205,712.8025776,-1.7993556,27.27135942,62.72864058,0.008317025,62.7369576,176.2210073,
,,,04/05/2020,12:00:00,2458974.00,0.20339493,,42.8407112,7679.553597,0.016700079,1.64750361,44.48821481,7681.2011,1.008446566,44.47774679,23.43664613,23.43657257,42.01649425,16.18054269,0.043024263,3.253463871,107.0049573,12:07:06,4:59:05,19:15:08,856.0396585,712.8934639,-1.776634032,26.98204367,63.01795633,0.008214239,63.02617056,176.2372275,
,,,05/05/2020,12:00:00,2458975.00,0.20342231,,43.82635857,7680.539197,0.016700077,1.630693918,45.45705249,7682.169891,1.008691051,45.44658433,23.43664577,23.43657458,42.98164239,16.4646479,0.043024271,3.335071731,107.309082,12:07:01,4:57:47,19:16:16,858.472656,712.9750717,-1.756232067,26.69731572,63.30268428,0.008113596,63.31079787,176.2491814,
,,,06/05/2020,12:00:00,2458976.00,0.20344969,,44.81200593,7681.524797,0.016700076,1.613417204,46.42542313,7683.138214,1.00893295,46.41495486,23.43664541,23.43657659,43.94913394,16.74418768,0.043024279,3.407329917,107.6097147,12:06:57,4:56:31,19:17:23,860.8777173,713.0473299,-1.738167521,26.41726077,63.58273923,0.008015092,63.59075432,176.2567302,
,,,07/05/2020,12:00:00,2458977.00,0.20347707,,45.79765329,7682.510397,0.016700075,1.59567883,47.39333212,7684.106076,1.009172195,47.38286374,23.43664506,23.4365786,44.9189835,17.01907728,0.043024286,3.470179015,107.9067284,12:06:53,4:55:16,19:18:31,863.253827,713.110179,-1.722455246,26.14196352,63.85803648,0.007918724,63.8659552,176.2597399,
,,,08/05/2020,12:00:00,2458978.00,0.20350445,,46.78330066,7683.495998,0.016700074,1.577484275,48.36078493,7685.073482,1.00940872,48.35031643,23.4366447,23.43658061,45.89120265,17.28923272,0.043024294,3.523571693,108.1999939,12:06:50,4:54:02,19:19:38,865.5999508,713.1635717,-1.709107077,25.87150816,64.12849184,0.007824491,64.13631633,176.258082,
,,,09/05/2020,12:00:00,2458979.00,0.20353183,,47.76894802,7684.481598,0.016700073,1.558839138,49.32778716,7686.040437,1.009642457,49.31731855,23.43664435,23.43658261,46.8657999,17.55457077,0.043024301,3.567472939,108.4893795,12:06:48,4:52:50,19:20:45,867.9150358,713.2074729,-1.698131765,25.60597831,64.39402169,0.007732391,64.40175408,176.2516339,
,,,10/05/2020,12:00:00,2458980.00,0.20355921,,48.75459538,7685.467198,0.016700072,1.53974913,50.29434451,7687.006947,1.009873343,50.2838758,23.43664399,23.43658462,47.84278069,17.81500904,0.043024309,3.601860267,108.7747515,12:06:45,4:51:40,19:21:51,870.1980118,713.2418603,-1.689534933,25.34545705,64.65454295,0.007642423,64.66218538,176.2402799,
,,,11/05/2020,12:00:00,2458981.00,0.20358658,,49.74024275,7686.452799,0.016700071,1.520220074,51.26046282,7687.973019,1.010101312,51.24999401,23.43664363,23.43658663,48.82214725,18.07046603,0.043024317,3.626723918,109.055974,12:06:44,4:50:31,19:22:57,872.4477919,713.2667239,-1.68331902,25.0900268,64.9099732,0.007554587,64.91752779,176.2239116,
,,,12/05/2020,12:00:00,2458982.00,0.20361396,,50.72589011,7687.438399,0.016700069,1.500257905,52.22614802,7688.938657,1.010326301,52.21567911,23.43664328,23.43658864,49.80389864,18.32086114,0.043024324,3.642067043,109.3329092,12:06:43,4:49:23,19:24:03,874.6632738,713.282067,-1.679483239,24.83976937,65.16023063,0.007468884,65.16769951,176.2024289,
,,,13/05/2020,12:00:00,2458983.00,0.20364134,,51.71153748,7688.423999,0.016700068,1.479868666,53.19140614,7689.903868,1.010548248,53.18093714,23.43664292,23.43659065,50.78803067,18.56611477,0.043024332,3.647905864,109.6054176,12:06:43,4:48:17,19:25:08,876.843341,713.2879059,-1.678023534,24.59476585,65.40523415,0.007385313,65.41261946,176.1757405,
,,,14/05/2020,12:00:00,2458984.00,0.20366872,,52.69718484,7689.409599,0.016700067,1.459058507,54.15624335,7690.868658,1.01076709,54.14577425,23.43664257,23.43659266,51.77453588,18.80614831,0.043024339,3.644269823,109.873358,12:06:43,4:47:13,19:26:13,878.9868638,713.2842698,-1.678932544,24.35509659,65.64490341,0.007303876,65.65220729,176.1437648,
,,,15/05/2020,12:00:00,2458985.00,0.20369610,,53.6828322,7690.3952,0.016700066,1.437833682,55.12066588,7691.833033,1.010982767,55.11019671,23.43664221,23.43659467,52.76340351,19.04088427,0.043024347,3.631201701,110.1365876,12:06:44,4:46:11,19:27:17,881.0927009,713.2712017,-1.682199575,24.12084113,65.87915887,0.007224575,65.88638345,176.1064307,
,,,16/05/2020,12:00:00,2458986.00,0.20372348,,54.66847957,7691.3808,0.016700065,1.41620055,56.08468012,7692.797,1.01119522,56.07421086,23.43664185,23.43659668,53.75461945,19.27024627,0.043024355,3.608757729,110.3949626,12:06:45,4:45:10,19:28:20,883.1597011,713.2487577,-1.687810568,23.89207817,66.10792183,0.007147412,66.11506924,176.0636781,
,,,17/05/2020,12:00:00,2458987.00,0.20375086,,55.65412693,7692.3664,0.016700064,1.394165569,57.0482925,7693.760566,1.011404389,57.03782317,23.4366415,23.43659869,54.74816626,19.49415911,0.043024362,3.577007666,110.648338,12:06:47,4:44:11,19:29:23,885.1867041,713.2170077,-1.695748084,23.66888547,66.33111453,0.007072389,66.33818692,176.0154589,
,,,18/05/2020,12:00:00,2458988.00,0.20377823,,56.63977429,7693.352,0.016700063,1.371735297,58.01150959,7694.723736,1.011610217,58.00104019,23.43664114,23.4366007,55.7440231,19.71254887,0.04302437,3.536034855,110.8965679,12:06:49,4:43:14,19:30:25,887.1725433,713.1760349,-1.705991286,23.45133979,66.54866021,0.00699951,66.55565972,175.9617379,
,,,19/05/2020,12:00:00,2458989.00,0.20380561,,57.62542166,7694.337601,0.016700061,1.348916389,58.97433805,7695.686517,1.011812647,58.96386857,23.43664079,23.43660271,56.74216577,19.9253429,0.043024377,3.485936262,111.1395058,12:06:52,4:42:19,19:31:26,889.1160466,713.1259363,-1.718515935,23.23951682,66.76048318,0.006928777,66.76741196,175.9024932,
,,,20/05/2020,12:00:00,2458990.00,0.20383299,,58.61106902,7695.323201,0.01670006,1.325715596,59.93678462,7696.648917,1.012011623,59.92631508,23.43664043,23.43660472,57.74256669,20.13246993,0.043024385,3.426822484,111.3770049,12:06:56,4:41:26,19:32:26,891.0160392,713.0668225,-1.733294379,23.0334911,66.9665089,0.006860194,66.97336909,175.8377171,
